order_id,order_date,customer_name,city,state,product_name,category,quantity,price
1001,2024-01-24,Rohit,Hyderabad,Telangana,Shoes,Fashion,1,3000
1002,2024-02-25,Priya,Mumbai,Maharashtra,Laptop,Electronics,2,50000
1003,2024-04-07,Suman,Kolkata,West Bengal,Mouse,Electronics,3,800
1004,2024-02-24,Anjali,Jaipur,Rajasthan,Keyboard,Electronics,2,1500
1005,2024-03-09,Rahul,Bangalore,Karnataka,Mobile,Electronics,3,20000
1006,2024-02-01,Suman,Kolkata,West Bengal,Keyboard,Electronics,1,1500
1007,2024-03-05,Kunal,Chennai,Tamil Nadu,Mouse,Electronics,2,800
1008,2024-03-27,Suman,Kolkata,West Bengal,Handbag,Fashion,1,2500
1009,2024-03-28,Suman,Kolkata,West Bengal,Shoes,Fashion,2,3000
1010,2024-01-31,Priya,Mumbai,Maharashtra,Laptop,Electronics,2,50000
1011,2024-02-07,Amit,Delhi,Delhi,Mobile,Electronics,1,20000
1012,2024-04-06,Amit,Delhi,Delhi,Handbag,Fashion,2,2500
1013,2024-04-17,Amit,Delhi,Delhi,Laptop,Electronics,2,50000
1014,2024-01-26,Rohit,Hyderabad,Telangana,Handbag,Fashion,2,2500
1015,2024-03-02,Anjali,Jaipur,Rajasthan,Headphones,Electronics,2,4000
1016,2024-01-13,Priya,Mumbai,Maharashtra,Keyboard,Electronics,1,1500
1017,2024-02-16,Neha,Pune,Maharashtra,Handbag,Fashion,3,2500
1018,2024-01-09,Rohit,Hyderabad,Telangana,Backpack,Fashion,1,2800
1019,2024-02-05,Amit,Delhi,Delhi,Backpack,Fashion,1,2800
1020,2024-04-06,Rahul,Bangalore,Karnataka,Backpack,Fashion,1,2800
1021,2024-03-29,Neha,Pune,Maharashtra,Mouse,Electronics,1,800
1022,2024-03-19,Kunal,Chennai,Tamil Nadu,Keyboard,Electronics,2,1500
1023,2024-04-30,Anjali,Jaipur,Rajasthan,Backpack,Fashion,2,2800
1024,2024-02-15,Suman,Kolkata,West Bengal,Backpack,Fashion,2,2800
1025,2024-03-04,Neha,Pune,Maharashtra,Backpack,Fashion,3,2800
1026,2024-01-05,Rahul,Bangalore,Karnataka,Shoes,Fashion,3,3000
1027,2024-04-04,Anjali,Jaipur,Rajasthan,Keyboard,Electronics,1,1500
1028,2024-01-29,Rohit,Hyderabad,Telangana,Mouse,Electronics,3,800
1029,2024-04-25,Neha,Pune,Maharashtra,Headphones,Electronics,1,4000
1030,2024-02-03,Priya,Mumbai,Maharashtra,Mobile,Electronics,2,20000
1031,2024-03-08,Neha,Pune,Maharashtra,Mouse,Electronics,2,800
1032,2024-02-20,Kunal,Chennai,Tamil Nadu,Laptop,Electronics,1,50000
1033,2024-03-05,Rohit,Hyderabad,Telangana,Laptop,Electronics,3,50000
1034,2024-03-27,Priya,Mumbai,Maharashtra,Headphones,Electronics,3,4000
1035,2024-01-22,Suman,Kolkata,West Bengal,Laptop,Electronics,2,50000
1036,2024-01-08,Suman,Kolkata,West Bengal,Laptop,Electronics,1,50000
1037,2024-03-12,Priya,Mumbai,Maharashtra,Keyboard,Electronics,3,1500
1038,2024-01-26,Rohit,Hyderabad,Telangana,Headphones,Electronics,2,4000
1039,2024-01-25,Amit,Delhi,Delhi,Headphones,Electronics,3,4000
1040,2024-01-02,Kunal,Chennai,Tamil Nadu,Backpack,Fashion,3,2800
1041,2024-04-07,Rahul,Bangalore,Karnataka,Mobile,Electronics,2,20000
1042,2024-03-01,Neha,Pune,Maharashtra,Mouse,Electronics,2,800
1043,2024-01-11,Priya,Mumbai,Maharashtra,Handbag,Fashion,2,2500
1044,2024-02-27,Amit,Delhi,Delhi,Keyboard,Electronics,3,1500
1045,2024-04-12,Neha,Pune,Maharashtra,Backpack,Fashion,3,2800
1046,2024-03-17,Neha,Pune,Maharashtra,Headphones,Electronics,1,4000
1047,2024-01-17,Anjali,Jaipur,Rajasthan,Keyboard,Electronics,1,1500
1048,2024-04-05,Anjali,Jaipur,Rajasthan,Laptop,Electronics,1,50000
1049,2024-02-18,Anjali,Jaipur,Rajasthan,Keyboard,Electronics,2,1500
1050,2024-02-13,Rohit,Hyderabad,Telangana,Mouse,Electronics,3,800
1051,2024-02-10,Suman,Kolkata,West Bengal,Laptop,Electronics,2,50000
1052,2024-01-26,Neha,Pune,Maharashtra,Handbag,Fashion,3,2500
1053,2024-01-19,Priya,Mumbai,Maharashtra,Mouse,Electronics,1,800
1054,2024-03-24,Kunal,Chennai,Tamil Nadu,Laptop,Electronics,1,50000
1055,2024-02-01,Amit,Delhi,Delhi,Headphones,Electronics,1,4000
1056,2024-02-07,Suman,Kolkata,West Bengal,Laptop,Electronics,1,50000
1057,2024-03-19,Neha,Pune,Maharashtra,Keyboard,Electronics,2,1500
